path,lines,sha256,declarations,internal_imports,test_annotations
app/src/main/java/io/github/ffenuss/modkit/analysis/TargetShaVerifier.kt,206,ed06cb5bf140f9766600226ae6c07a28e68b9d5ead451c09d93eff1567866b73,TargetShaVerification; TargetShaVerifier,io.github.ffenuss.modkit.data.InstalledAppRepository; io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/UniversalElfInventoryEngine.kt,274,dadf8dcac60998eb2242548e699b0c35c517ab973e95ec57f2e97f6aae2de7ff,ElfInventoryRecord; UniversalElfInventoryResult; UniversalElfInventoryEngine,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/nativecode/AArch64ControlFlowGraph.kt,298,76fb89fba568a76085051969df4857abfcb57ba48e1925206c20f7bbe60bd47c,AArch64ControlFlowEdgeKind; AArch64ControlFlowEdge; AArch64BasicBlock; AArch64ControlFlowGraph; AArch64ControlFlowGraphBuilder,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/nativecode/AArch64Disassembler.kt,846,c2d27b89f8b9096e1cae340777056b54cae47011837039b4cd0628c47d9826b7,AArch64DecodedInstruction; AArch64Disassembly; AArch64Disassembler,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/nativecode/AArch64MethodAnalyzer.kt,598,e8a54ba6d5496b002fb3f07dcbb9cf68cd0151a770a521037f555477a1467bb6,AArch64MethodShape; AArch64MethodAnalysis; AArch64MethodAnalyzer,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/nativecode/Armv7ControlFlowDecoder.kt,330,80b3eb5d322288009ebdf9639a1de467083c41438f82ecfcd925741763da699d,NativeArchitecture; ControlFlowKind; ControlFlowInstruction; Armv7ScanResult; Armv7ControlFlowDecoder,io.github.ffenuss.modkit.analysis.AnalysisCancelledException; io.github.ffenuss.modkit.analysis.CancellationSignal,0
app/src/main/java/io/github/ffenuss/modkit/analysis/nativecode/InstructionDecoder.kt,384,32885538f555ad61f198e3353f9c190957edd1f0b079ef7cee80e03aac278243,InstructionBoundaryPolicy; InstructionDecodeResult; InstructionDecoder; InstructionDecoders; ArmA32InstructionDecoder; ArmThumbInstructionDecoder; X86KnownBoundaryInstructionDecoder; AArch64InstructionDecoder,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/nativecode/X86ControlFlowDecoder.kt,364,319a073fe0dd071a7c5b60174b9b48a717469f371ad1eac88f23ad0987e2c5d7,X86ControlFlowDecodeResult; X86ControlFlowDecoder,,0
app/src/main/java/io/github/ffenuss/modkit/build/ApkSetExportPlanner.kt,66,408266a3bf707ac170e3e9ecf1dfc669af2f41f79f38c69cd7aa7572bf82e4c6,ApkSetExportPlan; ApkSetExportPlanner,,0
app/src/main/java/io/github/ffenuss/modkit/build/ApkSigningStage.kt,165,e1cc0401b5672423275bbbe9689e38cb82fa90435d219daf560e59c2bdd1a07d,ApkSignatureVerification; ApkSigningResult; ApkSigningStage,,0
app/src/main/java/io/github/ffenuss/modkit/build/ApkZipAligner.kt,395,8e786a1bbe10325c68b71c7ac8d8d013504e752978b8b26cf67039bfeb2b83c5,ZipAlignmentRecord; ZipAlignmentVerification; ZipAlignResult; ApkZipAligner; ZipAlignmentVerifier,io.github.ffenuss.modkit.analysis.AnalysisCancelledException; io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.analysis.ProgressSink; io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/build/BuildArtifactExporter.kt,368,9a3503209ec36ab57cfea31d54c9eca45854d7b20bcd7b6654532da53dcefa09,SavedBuildArtifact; SavedApkFiles; BuildArtifactExporter,io.github.ffenuss.modkit.BuildConfig,0
app/src/main/java/io/github/ffenuss/modkit/build/BuildFailureDetails.kt,35,3f1e6846c9aaf06e96dee7f7fdbb0dde68cf50cd1e783a2e42cc94724871d411,BuildFailureDetails,,0
app/src/main/java/io/github/ffenuss/modkit/build/BuildOutputStorage.kt,32,f7869c0ec9e97ff1f41b071d2ce9cc9ba4df8117c14c602b71d8d1fe4bc75b3e,BuildOutputStorage,,0
app/src/main/java/io/github/ffenuss/modkit/build/BuildReportWriter.kt,145,99f06087e378b3e04cd90f1d0aa119e14edcbe174ae28b71b4cd15edc2226d12,BuildReportWriter,io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.patch.MutationDiff,0
app/src/main/java/io/github/ffenuss/modkit/build/BuildStoragePreflight.kt,44,c805ec726e481c9eb77acc2856f4b9c2f7ef97033be2b79cdc2c7aa1ec9053c0,BuildStoragePreflight,,0
app/src/main/java/io/github/ffenuss/modkit/build/BuiltPackageVerifier.kt,246,9ca54900283de8dc952403a03876ac7c448b76de42bf0e5d263310e75c3e8bc8,ParsedApkPackage; InstallabilityVerification; BuiltPackageVerifier,,0
app/src/main/java/io/github/ffenuss/modkit/build/ModKitSigningIdentityProvider.kt,93,dac906b0b8114e4eccacf953e26a6e920b2860e449d79b321b5e1962f023450c,ApkSigningIdentity; ModKitSigningIdentityProvider,,0
app/src/main/java/io/github/ffenuss/modkit/build/MutationDiffVerifier.kt,152,27661fb4d36e86e8c99b271dd0b0af4386119a8d19264f7b0b794dd2577605be,MutationDiffVerification; MutationDiffVerifier,io.github.ffenuss.modkit.analysis.AnalysisCancelledException; io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.patch.MutationDiff; io.github.ffenuss.modkit.patch.MutationKind,0
app/src/main/java/io/github/ffenuss/modkit/build/PostBuildReanalyzer.kt,58,9b6ec95e00fc7a6715986212ff97dfceb785e0387a7a347ff2efa1d5fee35438,PostBuildReanalyzer,io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.analysis.EngineResultCache; io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.analysis.FastArtifactIndexer; io.github.ffenuss.modkit.analysis.ProgressSink,0
app/src/main/java/io/github/ffenuss/modkit/build/VerifiedBuildPipeline.kt,273,7b9f3e5f61ffbc05cc9cf6c196c476b6d47bf4611a44f9051510080a3b8b6601,BuiltApkFile; VerifiedBuildResult; VerifiedBuildPipeline,io.github.ffenuss.modkit.analysis.AnalysisCancelledException; io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.analysis.ProgressSink; io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState; io.github.ffenuss.modkit.patch.MutationApplyOutcome; io.github.ffenuss.modkit.patch.MutationDiff,0
app/src/main/java/io/github/ffenuss/modkit/data/InstalledAppRepository.kt,99,01e2fe91557785d8dad57d27a6d1556a599aa0daa562d164d0ceb581185b9725,InstalledAppTarget; InstalledAppRepository,,0
app/src/main/java/io/github/ffenuss/modkit/domain/AnalysisModels.kt,46,9d037818104dc411e6eaa91c629a9e946cbd3a78752aad691ff3a490e87f72ea,EngineScheduleClass; CapabilityState; ProofLevel; RunState; EngineProgress,,0
app/src/main/java/io/github/ffenuss/modkit/dump/InstalledPackageDumper.kt,423,e51f9cf5e0ef214ce34aede1e629b0f279a211bc6be8e5c2676836f9a8b76c0b,InstalledPackageDumpResult; InstalledPackageDumper,io.github.ffenuss.modkit.data.InstalledAppTarget,0
app/src/main/java/io/github/ffenuss/modkit/patch/AArch64ScalarReturnEncoder.kt,213,2ae12c1d35024ccc1e639f613633ba3499ad547a1a2cf06806659ef782c47568,AArch64ScalarReturnEncoder,io.github.ffenuss.modkit.analysis.Il2CppNativeReturnKind,0
app/src/main/java/io/github/ffenuss/modkit/patch/ArchiveMutationApplier.kt,596,680aac90737d901c3e2bc63e0310f794490304152e1a2ae1b3d0ca19c04f2b81,MutationDiff; MutationApplyResult; ArchiveMutationApplier,io.github.ffenuss.modkit.analysis.AnalysisCancelledException; io.github.ffenuss.modkit.analysis.AnalysisWorkspace; io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.analysis.ProgressSink; io.github.ffenuss.modkit.analysis.WorkspaceSource; io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/patch/AutoModPreparationCoordinator.kt,129,be2d6d226a6bda61c20d3830c01bba94480de772eb9f493f1f9326c6cece4e31,AutoModPreparationResult; AutoModPreparationCoordinator,io.github.ffenuss.modkit.analysis.AnalysisTargetDescriptor; io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.analysis.EngineResultCache; io.github.ffenuss.modkit.analysis.EngineSkipController; io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.analysis.ProgressSink; io.github.ffenuss.modkit.analysis.RoutedEngineScheduler; io.github.ffenuss.modkit.analysis.TargetShaVerification; io.github.ffenuss.modkit.analysis.TargetShaVerifier; io.github.ffenuss.modkit.domain.EngineScheduleClass,0
app/src/main/java/io/github/ffenuss/modkit/patch/AutoModRuntimeTestMenuCoordinator.kt,191,5fb2b3d2dfffaac2d600a3ced5daae932964f44b341d259edc765b99975394b3,AutoModRuntimeTestMenuBuild; AutoModRuntimeTestMenuLaunch; AutoModRuntimeTestMenuCoordinator,io.github.ffenuss.modkit.analysis.AnalysisTargetDescriptor; io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.analysis.EngineResultCache; io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.analysis.ProgressSink; io.github.ffenuss.modkit.runtime.AndroidRepackedRuntimeProbeTransport; io.github.ffenuss.modkit.runtime.BinaryAndroidManifestProbeInjector; io.github.ffenuss.modkit.runtime.RepackedRuntimeBuildCoordinator; io.github.ffenuss.modkit.runtime.RepackedRuntimeBuildResult; io.github.ffenuss.modkit.runtime.RepackedRuntimeInstrumentationCoordinator; io.github.ffenuss.modkit.runtime.RepackedRuntimeProbeIdentityVerifier; io.github.ffenuss.modkit.runtime.RepackedRuntimeTestAppLauncher; io.github.ffenuss.modkit.runtime.RepackedRuntimeTestMenuStatus,0
app/src/main/java/io/github/ffenuss/modkit/patch/AutoModSelectionPolicy.kt,22,c4d3b8732e0c8dc77ebb1d3aacf6bb4d677bd74c861e7515294af3cb8eb1b487,AutoModSelectionPolicy,,0
app/src/main/java/io/github/ffenuss/modkit/patch/DexAutoModCoordinator.kt,272,4d7c12f56fc68e30e4ebe721afb13a51ead49b79db8b63763f4c7227dd15b78b,DexAutoModCoordinator,io.github.ffenuss.modkit.analysis.AnalysisTargetDescriptor; io.github.ffenuss.modkit.analysis.CancellationSignal; io.github.ffenuss.modkit.analysis.EngineResultCache; io.github.ffenuss.modkit.analysis.EvidenceFact; io.github.ffenuss.modkit.analysis.EvidenceTarget; io.github.ffenuss.modkit.analysis.EvidenceTargetKind; io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.analysis.ProgressSink; io.github.ffenuss.modkit.analysis.UserFindingStatus; io.github.ffenuss.modkit.analysis.TargetMaterializer; io.github.ffenuss.modkit.data.InstalledAppRepository; io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.ProofLevel; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/patch/DexGameplayContext.kt,70,0dd67b4a3dd6917e22c80596dfad5979c6cbf96152ab84482763e34b7e6edd32,DexGameplayContext,,0
app/src/main/java/io/github/ffenuss/modkit/patch/DexLocalPatchEngine.kt,745,cf1b31fee2613b639f4e2850b9a8bd176a469587a0edf4d02987a389c39fc8b1,DexLocalCategory; DexLocalAction; DexLocalOpportunity; DexLocalScan; DexLocalRewrite; DexLocalPatchEngine,io.github.ffenuss.modkit.analysis.AnalysisCancelledException; io.github.ffenuss.modkit.analysis.CancellationSignal,0
app/src/main/java/io/github/ffenuss/modkit/patch/DexScanDiagnosticReport.kt,137,3727734d558e6be7d16aa41f9748edadb0a02599fce004bc5a0a6db3896b42a2,DexScanDiagnosticReport,io.github.ffenuss.modkit.BuildConfig; io.github.ffenuss.modkit.analysis.FastAnalysisResult,0
app/src/main/java/io/github/ffenuss/modkit/patch/GameplayCandidateTriage.kt,254,e6c109cbfc75baac785561caea682cf7e6548590f8ec03f18ab9e4dad1151bb7,GameplayCandidateRole; GameplayPatchReadiness; GameplayCategoryOverview; GameplayCandidateBlockerSummary; GameplayCandidateTriage,,0
app/src/main/java/io/github/ffenuss/modkit/patch/GameplayModificationFinder.kt,2288,8ccf76a557f7f82e27b24290e8f05eade72cb471cefa01bcddec2ed7ae55cbd3,GameplayModificationCategory; GameplayMutationAction; GameplayModificationConfidence; GameplayModificationOpportunity; GameplayModificationFinder,io.github.ffenuss.modkit.analysis.EvidenceTarget; io.github.ffenuss.modkit.analysis.EvidenceTargetKind; io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.analysis.Il2CppMethodBinaryBinding; io.github.ffenuss.modkit.analysis.Il2CppNativeReturnKind,0
app/src/main/java/io/github/ffenuss/modkit/patch/Il2CppArm64CallResolver.kt,85,98c3964a4004886aea5425767f0a4e3937001ad8b4fee79f083b6c77fe5df0ca,Il2CppDirectCallResolution; Il2CppArm64CallResolver,io.github.ffenuss.modkit.analysis.EvidenceTarget; io.github.ffenuss.modkit.analysis.EvidenceTargetKind; io.github.ffenuss.modkit.analysis.FastAnalysisResult; io.github.ffenuss.modkit.analysis.nativecode.AArch64Disassembly,0
